Data,QT_INTER
15/02/2020,31.6
16/02/2020,38.9
17/02/2020,24
18/02/2020,26.5
19/02/2020,27.8
20/02/2020,24.9
21/02/2020,24.7
22/02/2020,32.4
23/02/2020,40.7
24/02/2020,38.1
25/02/2020,42.9
26/02/2020,34.2
27/02/2020,27
28/02/2020,26.4
29/02/2020,32
01/03/2020,41.6
02/03/2020,28.3
03/03/2020,28.8
04/03/2020,30.3
05/03/2020,29.9
06/03/2020,27.6
07/03/2020,32.1
08/03/2020,40.6
09/03/2020,28.6
10/03/2020,29.1
11/03/2020,27.6
12/03/2020,29.1
13/03/2020,29
14/03/2020,34.6
15/03/2020,41
16/03/2020,30.3
17/03/2020,30.8
18/03/2020,34.5
19/03/2020,36.8
20/03/2020,38.9
21/03/2020,50.9
22/03/2020,62.1
23/03/2020,50.1
24/03/2020,51.7
25/03/2020,51.4
26/03/2020,50.8
27/03/2020,49.2
28/03/2020,52.4
29/03/2020,58
30/03/2020,47
31/03/2020,46.5
01/04/2020,44.4
02/04/2020,46.5
03/04/2020,45.6
04/04/2020,48.5
05/04/2020,55.2
06/04/2020,44.5
07/04/2020,43.7
08/04/2020,43.1
09/04/2020,42.5
10/04/2020,54.9
11/04/2020,45.9
12/04/2020,51.9
13/04/2020,43.4
14/04/2020,43.5
15/04/2020,43.4
16/04/2020,40.8
17/04/2020,40.3
18/04/2020,44.7
19/04/2020,52.9
20/04/2020,42.9
21/04/2020,50.2
22/04/2020,40.8
23/04/2020,41.6
24/04/2020,39.9
25/04/2020,44.1
26/04/2020,51.1
27/04/2020,41.3
28/04/2020,41
29/04/2020,40.2
30/04/2020,38.6
01/05/2020,48.2
02/05/2020,42.5
03/05/2020,48.1
04/05/2020,40.4
05/05/2020,39.7
06/05/2020,39.5
07/05/2020,40.3
08/05/2020,37.8
09/05/2020,40
10/05/2020,43.4
11/05/2020,39.4
12/05/2020,39.6
13/05/2020,39.3
14/05/2020,39.1
15/05/2020,38.3
16/05/2020,43.2
17/05/2020,48.9
18/05/2020,38.9
19/05/2020,38.6
20/05/2020,37.6
21/05/2020,38.2
22/05/2020,36.8
23/05/2020,41.8
24/05/2020,51.9
25/05/2020,39
26/05/2020,37.9
27/05/2020,37.7
28/05/2020,38.1
29/05/2020,36.1
30/05/2020,40.1
31/05/2020,47.4
01/06/2020,37.8
02/06/2020,37.4
03/06/2020,36.8
04/06/2020,36.1
05/06/2020,36.5
06/06/2020,38.7
07/06/2020,46.7
08/06/2020,35.7
09/06/2020,35.1
10/06/2020,36.3
11/06/2020,43.3
12/06/2020,35.4
13/06/2020,39.1
14/06/2020,46.4
15/06/2020,36.2
16/06/2020,36.8
17/06/2020,35.6
18/06/2020,36.4
19/06/2020,33.2
20/06/2020,38.7
21/06/2020,46.5
22/06/2020,36.5
23/06/2020,36.6
24/06/2020,36.6
25/06/2020,36.4
26/06/2020,35.4
27/06/2020,40.6
28/06/2020,48.1
29/06/2020,39
30/06/2020,38.2
01/07/2020,37.8
02/07/2020,37.5
03/07/2020,36.2
04/07/2020,40.3
05/07/2020,47.5
06/07/2020,38.1
07/07/2020,37.1
08/07/2020,37.1
09/07/2020,37.2
10/07/2020,36.2
11/07/2020,40.4
12/07/2020,47.2
