QT_INTER,Prediction
31.6,
38.9,
24.0,
26.5,
27.8,
24.9,
24.7,
32.4,
40.7,
38.1,
42.9,
34.2,
27.0,
26.4,
32.0,
41.6,
28.3,
28.8,
30.3,
29.9,
27.6,
32.1,
40.6,
28.6,
29.1,
27.6,
29.1,
29.0,
34.6,
41.0,
30.3,
30.8,
34.5,
36.8,
38.9,
50.9,
62.1,
50.1,
51.7,
51.4,
50.8,
49.2,
52.4,
58.0,
47.0,
46.5,
44.4,
46.5,
45.6,
48.5,
55.2,
44.5,
43.7,
43.1,
42.5,
54.9,
45.9,
51.9,
43.4,
43.5,
43.4,
40.8,
40.3,
44.7,
52.9,
42.9,
50.2,
40.8,
41.6,
39.9,
44.1,
51.1,
41.3,
41.0,
40.2,
38.6,
48.2,
42.5,
48.1,
40.4,
39.7,
39.5,
40.3,
37.8,
40.0,
43.4,
39.4,
39.6,
39.3,
39.1,
38.3,
43.2,
48.9,
38.9,
38.6,
37.6,
38.2,
36.8,
41.8,
51.9,
39.0,
37.9,
37.7,
38.1,
36.1,
40.1,
47.4,
37.8,
37.4,
36.8,
36.1,
36.5,
38.7,
46.7,
35.7,
35.1,
36.3,
43.3,
35.4,
39.1,
46.4,
36.2,
36.8,
35.6,
36.4,
33.2,
38.7,
46.5,
36.5,
36.6,
36.6,
36.4,
35.4,
40.6,
48.1,
39.0,
38.2,
37.8,
37.5,
36.2,
40.3,
47.5,
38.1,
37.1,
37.1,
37.2,
36.2,
40.4,
47.2,
38.4,
39.1,
37.6,
37.8,
33.5,
38.5,
47.3,
37.5,
37.9,
37.2,
37.0,
36.4,
40.2,
47.4,
37.6,
37.3,
37.0,
37.2,
35.7,
39.8,
46.7,
36.6,
36.1,
34.4,
35.3,
33.1,
37.3,
42.9,
35.1,
35.6,
35.0,
36.8,
34.1,
39.1,
45.8,
36.4,
36.1,
35.7,
35.6,
35.6,
42.2,
48.1,
35.9,
35.5,
35.3,
35.2,
34.0,
37.9,
44.9,
36.3,
34.7,
34.0,
34.1,
32.3,
36.7,
44.2,
45.2,
33.1,
33.6,
34.2,
33.1,
37.4,
44.6,
34.0,
34.1,
34.1,
34.2,
32.7,
36.4,
44.2,
34.6,
35.1,
34.2,
33.2,
31.8,
36.1,
43.2,
34.2,
33.6,
32.1,
33.0,
32.7,
36.3,
43.9,
34.4,
32.4,
33.0,
32.9,
32.1,
36.0,
43.9,
43.8,
32.9,
33.0,
33.2,
31.6,
36.5,
43.8,
34.3,
34.7,
33.6,
33.3,
32.2,
38.4,
46.4,
32.8,
32.5,
32.7,
32.1,
32.0,
36.5,
43.7,
43.9,
31.7,
32.1,
32.4,
32.3,
37.3,
45.5,
35.1,
35.2,
34.4,
34.7,
34.1,
38.6,
38.5,
35.9,
35.2,
35.8,
35.5,
35.1,
39.0,
47.2,
35.9,
35.3,
35.1,
35.0,
33.5,
38.9,
45.5,
36.4,
35.8,
34.9,
33.3,
33.3,
38.5,
48.3,
36.8,
38.9,
35.1,
35.6,
33.6,
39.4,
47.5,
35.7,
35.5,
34.5,
35.0,
33.9,
38.3,
46.3,
35.2,
34.7,
34.3,
36.0,
48.8,
46.1,
51.2,
38.1,
37.2,
35.9,
37.1,
50.0,
47.6,
51.9,
37.5,
37.5,
37.1,
37.1,
35.3,
40.8,
49.3,
36.4,
36.7,
36.4,
36.1,
35.6,
41.8,
48.8,
36.4,
36.8,
36.4,
35.9,
35.5,
41.2,
48.5,
36.8,
36.2,
35.8,
36.1,
35.3,
,36.090305
,37.410904
,37.378147
,35.61326
,36.626278
,37.33414
,36.446815
,36.678997
,37.13281
,37.02457
,38.009174
,37.587975
,38.333534
,37.216812
,36.96968
,38.06802
,37.97392
,36.88514
,37.26444
,38.693523
,36.86701
,36.562576
,37.77593
,37.54144
,37.32696
,37.33412
,39.032867
,37.041424
,37.64026
,38.592457
,38.531136
,37.83178
,37.83298
,38.818954
,36.96066
,36.950596
,38.18491
,37.869003
,36.860126
,36.98012
,38.476
,36.63167
,36.66468
,40.20836
,39.960155
,39.80271
,39.90096
,41.608177
,41.00847
,41.142918
,41.886097
,41.41256
,42.241844
,41.330456
,42.481815
,41.76678
,41.663246
,39.970425
,39.298615
,39.56722
,39.067524
,40.414127
,38.16226
,37.84396
,39.474247
,39.274414
,38.226936
,38.68329
,40.0803
,38.069855
,38.02324
,39.445267
,38.93276
,38.184593
,38.70091
,39.834908
,37.8793
