QT_INTER,Prediction
31.6,
38.9,
24.0,
26.5,
27.8,
24.9,
24.7,
32.4,
40.7,
38.1,
42.9,
34.2,
27.0,
26.4,
32.0,
41.6,
28.3,
28.8,
30.3,
29.9,
27.6,
32.1,
40.6,
28.6,
29.1,
27.6,
29.1,
29.0,
34.6,
41.0,
30.3,
30.8,
34.5,
36.8,
38.9,
50.9,
62.1,
50.1,
51.7,
51.4,
50.8,
49.2,
52.4,
58.0,
47.0,
46.5,
44.4,
46.5,
45.6,
48.5,
55.2,
44.5,
43.7,
43.1,
42.5,
54.9,
45.9,
51.9,
43.4,
43.5,
43.4,
40.8,
40.3,
44.7,
52.9,
42.9,
50.2,
40.8,
41.6,
39.9,
44.1,
51.1,
41.3,
41.0,
40.2,
38.6,
48.2,
42.5,
48.1,
40.4,
39.7,
39.5,
40.3,
37.8,
40.0,
43.4,
39.4,
39.6,
39.3,
39.1,
38.3,
43.2,
48.9,
38.9,
38.6,
37.6,
38.2,
36.8,
41.8,
51.9,
39.0,
37.9,
37.7,
38.1,
36.1,
40.1,
47.4,
37.8,
37.4,
36.8,
36.1,
36.5,
38.7,
46.7,
35.7,
35.1,
36.3,
43.3,
35.4,
39.1,
46.4,
36.2,
36.8,
35.6,
36.4,
33.2,
38.7,
46.5,
36.5,
36.6,
36.6,
36.4,
35.4,
40.6,
48.1,
39.0,
38.2,
37.8,
37.5,
36.2,
40.3,
47.5,
38.1,
37.1,
37.1,
37.2,
36.2,
40.4,
47.2,
38.4,
39.1,
37.6,
37.8,
33.5,
38.5,
47.3,
37.5,
37.9,
37.2,
37.0,
36.4,
40.2,
47.4,
37.6,
37.3,
37.0,
37.2,
35.7,
39.8,
46.7,
36.6,
36.1,
34.4,
35.3,
33.1,
37.3,
42.9,
35.1,
35.6,
35.0,
36.8,
34.1,
39.1,
45.8,
36.4,
36.1,
35.7,
35.6,
35.6,
42.2,
48.1,
35.9,
35.5,
35.3,
35.2,
34.0,
37.9,
44.9,
36.3,
34.7,
34.0,
34.1,
32.3,
36.7,
44.2,
45.2,
33.1,
33.6,
34.2,
33.1,
37.4,
44.6,
34.0,
34.1,
34.1,
34.2,
32.7,
36.4,
44.2,
34.6,
35.1,
34.2,
33.2,
31.8,
36.1,
43.2,
34.2,
33.6,
32.1,
33.0,
32.7,
36.3,
43.9,
34.4,
32.4,
33.0,
32.9,
32.1,
36.0,
43.9,
43.8,
32.9,
33.0,
33.2,
31.6,
36.5,
43.8,
34.3,
34.7,
33.6,
33.3,
32.2,
38.4,
46.4,
32.8,
32.5,
32.7,
32.1,
32.0,
36.5,
43.7,
43.9,
31.7,
32.1,
32.4,
32.3,
37.3,
45.5,
35.1,
35.2,
34.4,
34.7,
34.1,
38.6,
38.5,
35.9,
35.2,
35.8,
35.5,
35.1,
39.0,
47.2,
35.9,
35.3,
35.1,
35.0,
33.5,
38.9,
45.5,
36.4,
35.8,
34.9,
33.3,
33.3,
38.5,
48.3,
36.8,
38.9,
35.1,
35.6,
33.6,
39.4,
47.5,
35.7,
35.5,
34.5,
35.0,
33.9,
38.3,
46.3,
35.2,
34.7,
34.3,
36.0,
48.8,
46.1,
51.2,
38.1,
37.2,
35.9,
37.1,
50.0,
47.6,
51.9,
37.5,
37.5,
37.1,
37.1,
35.3,
40.8,
49.3,
36.4,
36.7,
36.4,
36.1,
35.6,
41.8,
48.8,
36.4,
36.8,
36.4,
35.9,
35.5,
41.2,
48.5,
36.8,
36.2,
35.8,
36.1,
35.3,
,39.431973
,40.667904
,39.02593
,35.890255
,36.756435
,35.586636
,34.612
,37.146862
,40.61818
,39.691265
,36.73339
,38.7697
,34.972298
,35.459763
,38.314484
,40.582554
,37.725037
,36.05004
,38.035107
,35.838123
,34.76609
,36.026627
,40.286205
,37.687195
,36.264233
,38.5729
,38.065475
,35.426266
,37.98786
,39.555283
,41.27718
,36.55354
,37.285484
,35.486412
,34.474174
,37.442883
,40.805737
,37.872303
,36.046947
,37.280186
,34.688957
,34.40942
,38.838673
,44.81598
,41.299988
,48.27169
,42.32251
,38.538536
,40.082058
,43.07251
,45.87394
,40.936764
,43.703045
,41.68929
,38.145218
,40.635918
,43.049706
,42.222115
,39.652634
,36.679577
,37.927185
,36.38878
,36.358753
,39.305847
,41.79405
,39.53531
,37.68837
,38.4418
,36.25682
,36.85254
,39.42117
,41.859356
,39.509132
,37.29318
,38.549088
,35.967823
,36.225605
